lat,long
-16.6193009079,13.4118491687
-16.6146842366,13.4118787609
-16.6100675541,13.4119082687
-16.6054508606,13.411937692
-16.600834156,13.411967031
-16.7439141199,13.4064991715
-16.7392978468,13.406531031
-16.7346815617,13.4065628063
-16.7300652647,13.4065944971
-16.7254489558,13.4066261037
-16.720832635,13.4066576258
-16.7162163032,13.4066890636
-16.7115999588,13.4067204171
-16.7069836026,13.4067516862
-16.7023672346,13.406782871
-16.6977508549,13.4068139714
-16.6931344636,13.4068449874
-16.6885180605,13.4068759191
-16.6839016468,13.4069067665
-16.6792852206,13.4069375294
-16.6746687828,13.406968208
-16.6700523335,13.4069988023
-16.6654358727,13.4070293122
-16.6608194004,13.4070597377
-16.6562029176,13.4070900789
-16.6515864225,13.4071203357
-16.6469699161,13.4071505081
-16.6423533983,13.4071805962
-16.6377368692,13.4072105999
-16.6331203288,13.4072405192
-16.6285037772,13.4072703542
-16.6238872153,13.4073001047
-16.6192706413,13.407329771
-16.6146540562,13.4073593528
-16.6100374599,13.4073888503
-16.6054208526,13.4074182634
-16.6008042342,13.4074475921
-16.5961876048,13.4074768364
-16.7484977132,13.4019481294
-16.7438815382,13.4019800621
-16.7392653513,13.4020119106
-16.7346491523,13.4020436747
-16.7300329415,13.4020753545
-16.7254167187,13.40210695
-16.7208004841,13.4021384611
-16.7161842385,13.402169888
-16.7115679802,13.4022012305
-16.7069517101,13.4022324887
-16.7023354283,13.4022636625
-16.6977191348,13.4022947521
-16.6931028295,13.4023257573
-16.6884865127,13.4023566782
-16.6838701851,13.4023875147
-16.679253845,13.402418267
-16.6746374934,13.4024489349
-16.6700211302,13.4024795184
-16.6654047556,13.4025100177
-16.6607883695,13.4025404326
-16.6561719729,13.4025707631
-16.6515555639,13.4026010094
-16.6469391436,13.4026311713
-16.642322712,13.4026612488
-16.637706269,13.4026912421
-16.6330898148,13.4027211509
-16.6284733494,13.4027509755
-16.6238568737,13.4027807157
-16.6192403858,13.4028103715
-16.6146238869,13.402839943
-16.6100073768,13.4028694302
-16.6053908556,13.402898833
-16.6007743234,13.4029281515
-16.5961577802,13.4029573857
-16.7530811334,13.3973970236
-16.7484650575,13.3974290295
-16.7438489686,13.3974609511
-16.7392328678,13.3974927884
-16.734616755,13.3975245414
-16.7300006302,13.3975562101
-16.7253844935,13.3975877946
-16.720768345,13.3976192947
-16.7161521855,13.3976507106
-16.7115360134,13.3976820422
-16.7069198294,13.3977132894
-16.7023036337,13.3977444524
-16.6976874263,13.3977755311
-16.6930712072,13.3978065255
-16.6884549764,13.3978374356
-16.683838735,13.3978682613
-16.679222481,13.3978990028
-16.6746062155,13.39792966
-16.6699899385,13.3979602329
-16.66537365,13.3979907215
-16.66075735,13.3980211258
-16.6561410395,13.3980514457
-16.6515247167,13.3980816814
-16.6469083825,13.3981118328
-16.642292037,13.3981418998
-16.6376756802,13.3981718826
-16.6330593121,13.398201781
-16.6284429328,13.3982315951
-16.6238265432,13.3982613249
-16.6192101415,13.3982909704
-16.6145937287,13.3983205316
-16.6099773047,13.3983500085
-16.6053608697,13.398379401
-16.6007444236,13.3984087093
-16.5961279665,13.3984379332
-16.5915114994,13.3984670728
-16.7622803489,13.392813691
-16.7576643823,13.3928458542
-16.7530484036,13.3928779332
-16.7484324138,13.3929099279
-16.743816411,13.3929418383
-16.7392003962,13.3929736645
