Latitude,Longitude,PREDICTED_GROUNDWATER_LEVEL
13.4339292508,-16.6979414213,11.46474727270269
13.4339603319,-16.6933245124,9.527436164042951
13.4339913284,-16.6887075918,7.324242683412687
13.4340222403,-16.6840906605,12.854301590173923
13.4340530678,-16.6794737166,10.923362481882894
13.4340838107,-16.6748567613,8.836744272546943
13.4341144691,-16.6702397943,7.018272648953535
13.4341450429,-16.6656228159,4.325486606613209
13.4341755322,-16.6610058261,3.329352886862118
13.4342059369,-16.6563888257,8.775069212797574
13.4342362571,-16.6517718129,11.478442164787896
13.4342664928,-16.6471547888,11.984600103790482
13.4342966439,-16.6425377534,11.369994653581069
13.4343267105,-16.6379207067,9.904830103930871
13.4343566925,-16.6333036486,12.143999035901276
13.43438659,-16.6286865794,11.721513949927504
13.4344164029,-16.6240694998,12.249128126462416
13.4344461313,-16.6194524082,12.47017400489831
13.4344757751,-16.6148353053,10.76816564903943
13.4345053344,-16.6102181914,2.8116488072949686
13.4291901841,-16.7302270592,10.552995040199592
13.4292218458,-16.7256103191,17.5632260448843
13.4292534231,-16.7209935671,15.956374967409042
13.4292849158,-16.7163768042,16.145678915028938
13.429316324,-16.7117600285,13.132223534258863
13.4293476477,-16.7071432411,14.96127915950032
13.4293788869,-16.7025264419,11.806171477178223
13.4294100416,-16.697909631,11.580328682551317
13.4294411119,-16.6932928084,9.044018971598705
13.4294720976,-16.6886759742,6.829167957552716
13.4295029988,-16.6840591292,11.524478919821513
13.4295338155,-16.6794422717,12.533153160793184
13.4295645476,-16.6748254027,10.654768930784709
13.4295951953,-16.6702085221,8.30360214290064
13.4296257585,-16.6655916301,6.811665226960089
13.4296562372,-16.6609747265,6.077096955761633
13.4296866313,-16.6563578125,8.700773280425128
13.4297169409,-16.6517408861,5.851032981025574
13.4297471661,-16.6471239484,11.497467020976487
13.4297773067,-16.6425069993,13.858628375575526
13.4298073628,-16.6378900389,11.209396914562497
13.4298373344,-16.6332730672,11.479160316202135
13.4298672214,-16.6286560843,8.002923628395784
13.429897024,-16.6240390911,10.54901936566867
13.429926742,-16.6194220858,11.762916020706864
13.4299563755,-16.6148050694,6.496679534450156
13.4246393148,-16.7348113184,-2.908721446706201
13.4246710499,-16.7301946765,18.47576208034765
13.4247027006,-16.7255780227,19.17898220680989
13.4247342668,-16.720961357,18.73408727154652
13.4247657485,-16.7163446804,18.068264683171023
13.4247971458,-16.711727991,14.904283408038463
13.4248284586,-16.7071112899,16.257897643887585
13.4248596869,-16.702494577,12.92318517532784
13.4248908308,-16.6978778524,11.952538025212258
13.4249218902,-16.6932611161,10.974500190709762
13.4249528651,-16.6886443682,9.820135837000302
13.4249837555,-16.6840276095,12.343133525304335
13.4250145615,-16.6794108384,11.929376722175387
13.4250452829,-16.6747940557,12.696236921414188
13.4250759199,-16.6701772614,9.266777252395832
13.4251064724,-16.6655604556,7.497144931028252
13.4251369405,-16.6609436384,5.661722443335348
13.425167324,-16.6563268107,10.488150383333672
13.4251976231,-16.6517099707,11.023360741108444
13.4252278377,-16.6470931192,11.657788940721964
13.4252579678,-16.6424762565,10.861743736060925
13.4252880134,-16.6378593824,10.341286374901383
13.4253179745,-16.6332424971,11.767741833861677
13.4253478512,-16.6286256005,7.785603346218508
13.4253776433,-16.6240086936,10.428509285945799
13.425407351,-16.6193917746,11.872382282391909
13.4254369741,-16.6147748445,6.762635977382075
13.42012019,-16.7347788613,13.213806576781051
13.420151914,-16.7301623057,14.215540442350346
13.4201835537,-16.7255457381,17.877984416539626
13.4202151089,-16.7209291587,16.731310836670847
13.4202465796,-16.7163125684,15.337126395152264
13.4202779659,-16.7116959653,13.626767702728086
13.4203092678,-16.7070793504,14.554955599116825
13.4203404853,-16.7024627238,11.294581658410564
13.4203716183,-16.6978460855,12.954611417328401
13.4204026668,-16.6932294355,11.050034228140648
13.4204336309,-16.6886127738,10.657112960683675
13.4204645105,-16.6839961015,12.871940871770391
13.4204953058,-16.6793794166,14.45604277940443
13.4205260165,-16.6747627201,8.7190643103804
13.4205566428,-16.6701460122,0.39279121403060024
13.4205871847,-16.6655292927,9.629636081022035
13.4206176421,-16.6609125618,7.4743086072915865
13.420648015,-16.6562958203,8.539572152015946
13.4206783035,-16.6516790666,10.477698319638268
13.4207085076,-16.6470623014,12.587138210883616
13.4207386272,-16.642445525,11.364749356018796
13.4207686623,-16.6378287372,11.367782787290265
13.420798613,-16.6332119381,7.950361607773207
13.4208284792,-16.6285951278,12.881161569972965
13.420858261,-16.6239783072,11.467637337620529
13.4208879583,-16.6193614746,6.652221583005929
13.4209175711,-16.6147446307,2.109779003580865
13.4155692669,-16.7393628736,4.663496690066916
13.4156010644,-16.7347464162,12.133387873871419
13.4156327774,-16.7301299468,14.51897809647946
13.415664406,-16.7255134655,18.434021145444873
13.4156959502,-16.7208969723,15.76940054459121
13.4157274099,-16.7162804682,14.36736132720722
