long,lat,Drainage_density,Slope_tif2,Hydrogeo,Curvatu_tif2,NASADEM_HGT
-16.6197258112,13.4751205585,15.11854076385498,0.0,5.0,-0.0,0.0
-16.6151079297,13.4751502953,15.699274063110352,0.0,5.0,-0.0,0.0
-16.6104900371,13.4751799474,14.211244583129885,0.0,5.0,-0.0,0.0
-16.7028137536,13.4700516097,22.847599029541016,0.0,5.0,-0.0,0.0
-16.6981961645,13.4700828622,26.766586303710938,5.57637357711792,5.0,-1296000000.0,13.0
-16.6935785637,13.47011403,30.41116714477539,0.7344942092895508,5.0,-1296000000.0,20.0
-16.6889609512,13.4701451129,32.436458587646484,1.7684314250946045,5.0,1296000000.0,25.0
-16.684343328,13.4701761111,37.64985275268555,1.1842325925827026,5.0,-5184000000.0,18.0
-16.6797256923,13.4702070245,38.23439407348633,0.4645501971244812,5.0,-1296000000.0,14.0
-16.675108045,13.4702378532,42.82203674316406,3.740084171295166,5.0,2592000000.0,11.0
-16.6704903862,13.470268597,45.6948471069336,2.076667308807373,5.0,-3888000000.0,5.0
-16.6658727159,13.4702992561,42.35110855102539,5.972720146179199,5.0,5184000000.0,3.0
-16.661255034,13.4703298305,42.730499267578125,1.4687471389770508,5.0,-1296000000.0,0.0
-16.6566373417,13.47036032,42.554080963134766,3.281345844268799,5.0,5184000000.0,6.0
-16.6520196371,13.4703907248,38.35965347290039,1.642019271850586,5.0,1296000000.0,4.0
-16.647401921,13.4704210448,36.61771774291992,1.7684314250946045,5.0,-1296000000.0,3.0
-16.6427841936,13.47045128,31.270469665527344,1.3541624546051023,5.0,2592000000.0,3.0
-16.6381664549,13.4704814304,24.271514892578125,1.642019271850586,5.0,-2592000000.0,3.0
-16.6335487049,13.4705114961,20.189620971679688,1.642019271850586,5.0,3888000000.0,6.0
-16.6289309437,13.4705414769,16.891489028930664,1.642019271850586,5.0,-0.0,0.0
-16.6243131721,13.470571373,16.435279846191406,0.0,5.0,-0.0,0.0
-16.6196953884,13.4706011843,19.110671997070312,3.4254887104034424,5.0,-0.0,7.0
-16.6150775936,13.4706309108,21.830909729003903,0.7344942092895508,5.0,3888000000.0,6.0
-16.6104597877,13.4706605526,20.52651023864746,0.0,5.0,-0.0,0.0
-16.6058419706,13.4706901095,18.308744430541992,0.7344942092895508,5.0,1296000000.0,5.0
-16.6012241425,13.4707195817,18.274532318115234,0.0,5.0,-0.0,0.0
-16.7073992739,13.4655010986,23.404098510742188,0.0,5.0,-0.0,0.0
-16.7027817832,13.465532425,26.03175926208496,2.32153058052063,5.0,-2592000000.0,6.0
-16.6981642806,13.4655636666,29.048416137695312,3.825169801712036,5.0,-0.0,19.0
-16.6935467664,13.4655948235,32.054710388183594,1.1842325925827026,5.0,-3888000000.0,13.0
-16.6889292406,13.4656258957,35.36440658569336,2.102442502975464,5.0,-0.0,17.0
-16.684311704,13.4656568831,42.788848876953125,0.0,5.0,-0.0,18.0
-16.6796941548,13.4656877857,50.46803665161133,3.025747299194336,5.0,1296000000.0,18.0
-16.6750765942,13.4657186037,61.47643661499024,2.8235225677490234,5.0,-0.0,14.0
-16.6704590219,13.4657493369,58.55062484741211,1.9147183895111084,5.0,-11664000000.0,7.0
-16.6658414382,13.4657799853,54.61455535888672,2.102442502975464,5.0,10368000000.0,12.0
-16.661223843,13.465810549,51.00869369506836,1.3137449026107788,5.0,2592000000.0,2.0
-16.6566062373,13.4658410279,46.91873550415039,4.553967475891113,5.0,-2592000000.0,3.0
-16.6519886192,13.4658714221,48.45954513549805,2.804410457611084,5.0,-5184000000.0,3.0
-16.6473709898,13.4659017316,40.72063827514648,0.3284901976585388,5.0,-2592000000.0,3.0
-16.642753349,13.4659319563,33.81021881103516,0.7344942092895508,5.0,-2592000000.0,2.0
-16.6381356969,13.4659620962,29.553152084350582,1.1842325925827026,5.0,-1296000000.0,3.0
-16.6335180335,13.4659921514,25.182758331298828,1.3541624546051023,5.0,2592000000.0,3.0
-16.6289003589,13.4660221219,22.76255226135254,1.9147183895111084,5.0,-2592000000.0,0.0
-16.6242826739,13.4660520076,20.716827392578125,1.7684314250946045,5.0,2592000000.0,5.0
-16.6196649769,13.4660818085,21.0312557220459,1.642019271850586,5.0,-0.0,4.0
-16.6150472687,13.4661115247,21.654096603393555,2.32153058052063,5.0,3888000000.0,4.0
-16.6104295493,13.4661411561,20.19330596923828,1.642019271850586,5.0,1296000000.0,3.0
-16.6058118189,13.4661707028,21.19596099853516,6.008224487304688,5.0,-2592000000.0,5.0
-16.6011940774,13.4662001647,20.869876861572266,0.0,5.0,-0.0,0.0
-16.5965763249,13.4662295418,22.075414657592773,0.0,5.0,-0.0,0.0
-16.7119846212,13.4609505229,26.647069931030277,0.0,5.0,-0.0,0.0
-16.7073672287,13.4609819231,31.987150192260746,4.871637344360352,5.0,5184000000.0,5.0
-16.7027498245,13.4610132385,34.62004470825195,3.2484376430511475,5.0,-2592000000.0,4.0
-16.6981324085,13.4610444693,39.23304748535156,3.113298177719116,5.0,-2592000000.0,3.0
-16.6935149809,13.4610756154,43.25423049926758,3.095987558364868,5.0,-1296000000.0,4.0
-16.6888975415,13.4611066767,47.44767379760742,1.9147183895111084,5.0,-0.0,13.0
-16.6842800915,13.4611376533,51.79095077514648,0.9290392994880676,5.0,3888000000.0,17.0
-16.679662629,13.4611685453,64.65544128417969,1.7684314250946045,5.0,-5184000000.0,18.0
-16.6750451549,13.4611993525,70.51282501220703,1.642019271850586,5.0,3888000000.0,18.0
-16.6704276692,13.461230075,62.73940658569336,1.7684314250946045,5.0,-1296000000.0,15.0
-16.665810172,13.4612607128,58.47124481201172,0.3284901976585388,5.0,-1296000000.0,11.0
-16.6611926634,13.4612912658,53.277374267578125,0.9290392994880676,5.0,3888000000.0,10.0
