ID,Name,Latitude,Longitude,Ground surface elevation,DepthToGroundwater,Curvatu_tif2,Drainage_density,Slope_tif2,Hydrogeo,NASADEM_HGT
NWP20024,Jambur Medina JO3,13.317777,-16.68056,29.9,7-25,-0.0,79.9999008178711,2.5001461505889893,5.0,26.0
NWP40001,Ndungu Kebbeh,13.53768898834499,-16.3145439391254,26.37,25-50,6480000000.0,77.74502563476562,1.6745193004608154,3.0,31.0
NWP43001,Gunjur,13.52594141368379,-16.02751343777,19.43,25-50,-0.0,105.9289321899414,0.7344942092895508,3.0,16.0
NWP51001,Kerr Modi Ali,13.7477866874478,-15.2308252132835,16.39,25-50,2592000000.0,112.17292785644533,0.4645501971244812,3.0,23.0
NWP54001,Tabanani,13.6305918,-14.58784,33.35,25-50,-7776000000.0,93.28510284423828,2.32153058052063,3.0,34.0
NWP62002,Yorobawol,13.4252721,-14.2060734,36.35,0-7,-10368000000.0,56.687129974365234,2.3900835514068604,3.0,34.0
NWP24001,Somita,13.20896344952219,-16.2989315774497,27.31,0-7,2592000000.0,91.1672134399414,0.656958818435669,5.0,33.0
NWP23001,Taneneh,13.2330569,-16.5047276,14.32,0-7,7776000000.0,61.539432525634766,2.5001461505889893,5.0,18.0
NWP20006,Kerewan OB5,13.36081010766659,-16.625421,23.47,7-25,-0.0,51.5295295715332,1.1842325925827026,5.0,14.0
NWP20005,Sinchu Sore OB1,13.38475237422439,-16.6797212636949,25.57,7-25,2592000000.0,58.6795539855957,0.9290392994880676,5.0,28.0
